Crime,3.0926803706063506,5319
Romance,3.1470948287940654,7719
Thriller,2.9444558794763616,8654
Adventure,3.0116000290172558,4145
Drama,3.1789963131398347,25606
War,3.246514552968758,1874
Documentary,3.382492811392762,5605
Fantasy,3.0208010719942515,2731
Mystery,3.0457866375469886,2925
Musical,3.200530479192947,1054
Animation,3.101145231979571,2929
Film-Noir,3.3181423279951425,353
(no genres listed),3.04861333098764,5062
IMAX,3.2521209229470287,195
Horror,2.6507404149373563,5989
Western,3.025755266491021,1399
Comedy,3.041877588258234,16870
Children,3.0330509659717277,2935
Action,2.926390077275637,7348
Sci-Fi,2.7605302847755144,3595
