Visual Novel,4.002816901408449,1189.0422535211267
Strategy,3.576056338028169,1269.105633802817
Quiz/Trivia,3.275,243.25
Puzzle,3.8045714285714283,1148.4375
Brawler,3.772611464968152,1316.0943396226414
Shooter,3.6695156695156714,1200.4617563739378
Point-and-Click,3.6478260869565218,1257.0434782608695
Platform,3.698176291793314,1415.276595744681
Arcade,3.576388888888889,1033.9041095890411
Fighting,3.4263888888888885,1020.5555555555555
Indie,3.7031802120141344,1158.4718309859154
RPG,3.8325581395348842,1311.736137667304
